Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
3.083333333,5.249343832,3,3.3,0.0721,16,30.7,0,1,0,0,0,1,0,0,0,Bhaktapur
3.75,7.217847769,1.05,5,0.067,12,40.4375,0,1,0,0,0,1,0,0,1,Lalitpur
4.166666667,19.68503937,2,11,0.067,20,24,0,1,0,0,0,1,0,0,0,Bhaktapur
3.5,3.280839895,1.05,5,0.067,8,59.9375,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,59.3125,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,55.75,1,0,0,0,0,1,0,1,0,Kathmandu
3.083333333,6.56167979,3,4,0.0721,15,27.96,0,1,0,0,0,0,1,1,0,Kathmandu
2.833333333,23.67454068,0.2,30,0.0904,90,4.57,0,1,0,0,0,1,0,1,0,Kathmandu
3.666666667,7.217847769,3,18,0.067,30,13.5,0,1,0,0,0,1,0,1,0,Kathmandu
3.75,15,1.05,5.4,0.067,20,20.25,0,1,0,0,0,1,0,0,1,Lalitpur
4.166666667,19.68503937,2,11,0.067,25,16,0,1,0,0,0,1,0,0,0,Bhaktapur
1.75,6.456692913,,12,0.0987,24.97514416,15.715625,0,1,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.0721,8,47.375,1,0,0,0,0,1,0,1,0,Kathmandu
2.916666667,5.905511811,1,1.5,0.067,15,25.06125,0,1,0,0,0,1,0,1,0,Kathmandu
5.166666667,15.0656168,0.2,4.5,0.067,8.5,43.85,1,0,0,0,0,0,1,1,0,Kathmandu
4.333333333,9.842519685,0.2,14,0.067,50,7.375,0,0,1,0,0,1,0,1,0,Kathmandu
3,3.937007874,1.5,2,0.067,5,73.009,1,0,0,0,0,1,0,0,1,Lalitpur
2.166666667,5.905511811,5,11,0.0904,24,15,0,1,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,45,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,44.8125,1,0,0,0,0,1,0,1,0,Kathmandu
3.75,4.304461942,0.6,12,0.0721,35.5,9.94,1,0,0,0,0,1,0,1,0,Kathmandu
4.166666667,21.65354331,4,8,0.067,50,7,0,1,0,0,0,1,0,0,1,Lalitpur
3.5,3.280839895,1.05,5,0.067,8,43.6825,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,42.25,1,0,0,0,0,1,0,1,0,Kathmandu
2.916666667,8.530183727,7,6.875,0.067,35,9.625,0,1,0,0,0,1,0,0,1,Lalitpur
5.166666667,4.304461942,2,6,0.067,11,29.44,1,0,0,0,0,0,1,1,0,Kathmandu
3.166666667,6.456692913,15,5,0.0721,8,40.1,0,0,0,1,0,0,1,1,0,Kathmandu
2.166666667,3.280839895,0.2,11,0.0904,30,10,0,0,1,0,0,1,0,1,0,Kathmandu
2.5,6.56167979,0.5,8,0.0904,15,20,0,1,0,0,0,1,0,1,0,Kathmandu
4.083333333,17.21784777,1.05,14,0.067,40,7.3125,0,1,0,0,0,1,0,1,0,Kathmandu
