Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
16-Mar,01/01/2012,50,4.166666667,3.937007874,200,2,13950000,139.5,FAILED,85.335792,3.5,18,7.75,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,350000,"333,334&335,Sainbu-, Lalitpur",,,Lalitpur
16-Feb,01/01/2012,49,4.083333333,3.937007874,150,1.5,13936000,139.36,FAILED,85.311836,5.5,20,6.968,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,550000,"94,Mahankal-4, Kathmandu",,,Kathmandu
15-Nov,01/01/2012,46,3.833333333,3.608923885,1000,10,13781250,137.8125,27.660213,85.32178,4,15,9.1875,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,400000,"387,Sitapaila-1, Kathmandu",,,Kathmandu
16-Jan,01/01/2012,48,4,16.40419948,50,0.5,13781250,137.8125,27.687823,85.3578,4,15,9.1875,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,400000,"179,Tinthana-7, Kathmandu",,,Kathmandu
08/03/2014,01/01/2012,31,2.583333333,6.456692913,200,2,13760000,137.6,27.616405,FAILED,8,16,8.6,1,0,0,0,0,0,1,0,0,1,1,1600000,800000, 102-1063-09KMC-15Chamati land polling project,,,Kathmandu
02/04/2015,01/01/2012,37,3.083333333,8.608923885,200,2,13740000,137.4,FAILED,FAILED,18,30,4.58,0,1,0,0,0,1,0,1,0,0,1,3000000,1800000, Naya Bazaar Land Polling Project 17-516-9Kathmandu,,,Kathmandu
09/05/2013,01/01/2012,20,1.666666667,9.68503937,,,13684000,136.84,27.731133,85.3578,4,11.40333333,12,0,1,0,0,0,1,0,,,," TEWS 
    ","16,00,000.00,9,00,000.00
00
",400000," 102-0989-11, Kapan-8, Kathmandu",,,Kathmandu
04-Oct-13,01/01/2012,21,1.75,25,105,1.05,13680000,136.8,27.660318,85.380004,22,60,2.28,0,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",6000000,2200000,"7,Kathmandu-3, Kathmandu",,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,8.608923885,860,8.6,13622000,136.22,27.658201,85.32178,8,14,9.73,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1400000,800000,"BLOCK I, 101, Balaju-8 , Kathmandu",,,Kathmandu
04-Sep-15,01/01/2012,44,3.666666667,6.233595801,400,4,13533000,135.33,FAILED,85.294248,7.7,13,10.41,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1300000,770000,"908&9910,Bishnu-4, Budhanilkantha",,,Kathmandu
11/09/2015,01/01/2012,46,3.833333333,23.67454068,50,0.5,13500000,135,27.698744,85.312168,28,60,2.25,0,1,0,0,0,1,0,1,0,0,1,6000000,2800000, 102-1028-22 23KMC-6Kathmandu,,,Kathmandu
03/01/2017,01/01/2012,62,5.166666667,23.67454068,50,0.5,13500000,135,27.698744,85.312168,28,60,2.25,0,1,0,0,0,1,0,1,0,0,1,6000000,2800000, 102-1028-2223KMC-6Kathmandu,,,Kathmandu
04-Sep-15,01/01/2012,44,3.666666667,6.233595801,400,4,13500000,135,27.777896,85.361792,7.7,15,9,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,770000,"377,&906,Bishnu-4, Budhanilkantha",,,Kathmandu
05/01/2014,01/01/2012,28,2.333333333,6.456692913,1000,10,13500000,135,FAILED,FAILED,1.55,3,45,1,0,0,0,0,0,0,0,0,1,0,300000,155000, Suntol-3 kaKathmandu,,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,13400000,134,27.684382,85.345415,5,8,16.75,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"4,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
16-Jan,01/01/2012,48,4,6.88976378,2044,20.44,13387500,133.875,27.660508,85.314314,15,17,7.875,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1700000,1500000,"44,  Tokha-13, Kathmandu",,,Kathmandu
04/20/2017,01/01/2012,63,5.25,4.304461942,300,3,13375000,133.75,27.735325,85.30725,15,24.96500233,5.3575,0,1,0,0,0,1,0,,,," TEWS 
    ","25,00,000.00",1500000," 102-0984-13 Gongabu-4, Kathmandu",,,Kathmandu
04/10/2015,01/01/2012,39,3.25,3.280839895,500,5,13310000,133.1,27.715031,85.435352,2.75,5,26.62,1,0,0,0,0,0,1,0,0,1,1,500000,275000, 102-1020-10Ichangunarayan-1Kathmandu,,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,13308000,133.08,27.708777,85.286403,5,8,16.635,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"674,Bishnu - 3 , Kathmandu",,,Kathmandu
16-Jan,01/01/2012,48,4,6.88976378,105,1.05,13281250,132.8125,27.717245,85.314314,15,17,7.8125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1700000,1500000,"44, Tokha-13, Kathmandu ",,,Kathmandu
