Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
03/08/2016,01/01/2012,50,4.166666667,4.304461942,100,1,9792000,97.92,27.698744,85.312168,14,32,3.06,0,1,0,0,0,1,0,1,0,0,1,3200000,1400000, 102-1024-02KMC-29Kathmandu,,,Kathmandu
11/23/2012,01/01/2012,10,0.833333333,5.249343832,100,1,9792000,97.92,27.733936,85.362567,4.4,18.00620618,5.438125,0,1,0,0,0,0,1,,,," TEWS 
    ","18,00,000.00",440000," Kapan -3, Kathmandu",,,Kathmandu
11/25/2015,01/01/2012,46,3.833333333,6.456692913,3000,30,9775000,97.75,27.696331,85.480447,1.3,2.5,39.1,1,0,0,0,0,0,1,0,0,1,0,250000,130000, Bageshwori-1Bhaktapur,,,Bhaktapur
11/08/2013,01/01/2012,22,1.833333333,3.937007874,100,1,9750000,97.5,27.685093,85.324268,4.5625,30,3.25,0,1,0,0,0,0,1,,,," TEWS 
    ","30,00,000.00",456250," Lalitpur Nagar-1 Ka, Lalitpur",,,Lalitpur
15-Mar,01/01/2012,38,3.166666667,7.874015748,80,0.8,9743500,97.435,27.708394,85.324531,3,13,7.495,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1300000,300000,"5, Kritipur-16, Kathmandu",,,Kathmandu
01/05/2016,01/01/2012,48,4,4.304461942,1000,10,9732000,97.32,FAILED,FAILED,2,4,24.33,1,0,0,0,0,0,1,1,0,0,0,400000,200000, Dadapouwa (Ramkot)-7Kathmandu,,,Kathmandu
01/22/2015,01/01/2012,36,3,6.56167979,200,2,9625000,96.25,27.698744,85.312168,16,35,2.75,0,1,0,0,0,1,0,1,0,0,1,3500000,1600000, 102-1147-08KMC-10Kathmandu,,,Kathmandu
03/30/2016,01/01/2012,50,4.166666667,4.842519685,3000,30,9600000,96,27.698744,85.312168,14,32,3,0,1,0,0,0,1,0,0,0,0,1,3200000,1400000, 102-0984-25KMC-29Kathmandu,,,Kathmandu
10/21/2014,01/01/2012,33,2.75,3.280839895,100,1,9600000,96,FAILED,FAILED,12,32,3,1,0,0,0,0,1,0,0,0,1,1,3200000,1200000, 102-1104-23KMC-11 AnaKathmandu,,,Kathmandu
07/07/2014,01/01/2012,30,2.5,3.280839895,300,3,9560000,95.6,27.698744,85.312168,10,40,2.39,0,0,0,0,1,1,0,1,0,0,1,4000000,1000000, KMC-182819Kathmandu,,,Kathmandu
09/13/2016,01/01/2012,56,4.666666667,4.304461942,700,7,9525000,95.25,27.717245,85.323961,7.7,15,6.35,1,0,0,0,0,0,1,0,1,0,0,1500000,770000, 102-0945-24 Dhapasi-8Kathmandu,,,Kathmandu
16-Jun,01/01/2012,53,4.416666667,7.532808399,105,1.05,9500000,95,27.703449,85.242437,8.5,20,4.75,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,850000,"129,Kathmandu-15, Kathmandu",,,Kathmandu
01/08/2015,01/01/2012,36,3,4.304461942,105,1.05,9210000,92.1,27.657676,85.312168,20,100,0.921,0,1,0,0,0,1,0,0,0,0,1,10000000,2000000, 102-1104-14KMC-2224Kathmandu,,,Kathmandu
15-Apr,01/01/2012,39,3.25,4.593175853,400,4,9122500,91.225,27.745023,85.367288,12,20,4.56125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1200000,"305, Kathmandu-29, Kathmandu",,,Kathmandu
02/23/2016,01/01/2012,49,4.083333333,4.304461942,1000,10,9121750,91.2175,FAILED,FAILED,3,7.75,11.77,1,0,0,0,0,0,1,1,0,0,0,775000,300000, Tokha Chandeshwori-1 GaKathmandu,,,Kathmandu
11/06/2015,01/01/2012,46,3.833333333,4.304461942,200,2,9120000,91.2,27.698744,85.312168,12,40,2.28,0,0,0,0,1,0,1,1,0,0,1,4000000,1200000, 102-1106-15KMC-9Kathmandu,,,Kathmandu
07/03/2016,01/01/2012,54,4.5,1.312335958,150,1.5,9100000,91,27.593942,85.317719,1,3.5,26,0,0,1,0,0,0,1,0,0,1,0,350000,100000, Chapagaun-2 GaLalitpur,,,Lalitpur
02/09/2013,01/01/2012,13,1.083333333,4.593175853,30,0.3,9100000,91,FAILED,FAILED,12,24.98712888,3.641875,0,1,0,0,0,1,0,,,," TEWS 
    ","25,00,000.00",1200000," 102-1107-09, Kathmandu-8 Ya",,,Kathmandu
11/17/2013,01/01/2012,22,1.833333333,5,2000,20,9067000,90.67,27.708394,85.311836,1.65,4.499054117,20.153125,0,1,0,0,0,0,1,,,,TEW,"4,50,000.00",165000," 102-0907-20,mahankal-2,4, Kathmandu",,,Kathmandu
09/13/2013,01/01/2012,20,1.666666667,32.28346457,500,5,9011000,90.11,27.698744,85.312168,12,20.25512784,4.44875,0,1,0,0,0,1,0,,,," TEWS 
    ","20,25,000.00",1200000," 102-1188-06, KMC-35, Kathmandu",,,Kathmandu
03/28/2014,01/01/2012,26,2.166666667,5.905511811,300,3,9003000,90.03,27.679809,85.362186,0.08,15.00421337,6.000314564,0,1,0,0,0,0,1,,,," TEWS 
    ",47200,8000," 102-1188-23,madhyapur Thimi-16, Bhaktapur",,,Bhaktapur
12/02/2012,01/01/2012,11,0.916666667,4.593175853,150,1.5,8975000,89.75,27.696787,85.352516,10,25.00435313,3.589375,0,1,0,0,0,1,0,,,," TEWS 
    ","25,00,000.00",1000000," KMC -32, Kathmandu",,,Kathmandu
14-Dec,01/01/2012,35,2.916666667,6.56167979,105,1.05,8925000,89.25,27.742318,FAILED,1.75,6,14.875,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,175000,"450, Chunikhel-9 , Kathmandu",,,Kathmandu
15-Nov,01/01/2012,46,3.833333333,2.624671916,1200,12,8662500,86.625,27.709217,85.373062,6,18,4.8125,0,0,1,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,600000,"1545, Lalitpur-4 Gha, Lalitpur",,,Lalitpur
12/24/2012,01/01/2012,11,0.916666667,5.249343832,500,5,8658000,86.58,27.708394,85.311836,4.4,8.999415319,9.620625,0,1,0,0,0,0,1,,,," TEWS 
    ","9,00,000.00",440000,"mahankal-3, Kathmandu",,,Kathmandu
06-Mar-14,01/01/2012,26,2.166666667,5.905511811,200,2,8625000,86.25,27.704074,85.32178,7,15,5.75,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,700000,"14,Kathmandu-29, Kathmandu",,,Kathmandu
16-Jan,01/01/2012,48,4,6.56167979,400,4,8568750,85.6875,27.665277,85.324821,6.5,15,5.7125,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,650000,"80,Dhapashi-4, Kathmandu",,,Kathmandu
04/17/2013,01/01/2012,15,1.25,6.56167979,200,2,8560000,85.6,27.726698,85.368209,10,16,5.35,0,1,0,0,0,0,1,,,," TEWS 
    ","16,00,000.00",1000000," 102-1146-13, Kathmandu-10 Da",,,Kathmandu
01/05/2016,01/01/2012,48,4,6.456692913,105,1.05,8538000,85.38,FAILED,FAILED,3,6,14.23,1,0,0,0,0,0,1,0,1,0,0,600000,300000,  Dachhi-2 KaKathmandu,,,Kathmandu
11/08/2015,01/01/2012,46,3.833333333,6.456692913,300,3,8509250,85.0925,27.698744,85.312168,5,25.25,3.37,1,0,0,0,0,0,1,0,1,0,1,2525000,500000, 102-1142-11KMC-14Kathmandu,,,Kathmandu
11/08/2015,01/01/2012,46,3.833333333,6.456692913,300,3,8509250,85.0925,27.698744,85.312168,5,25.25,3.37,1,0,0,0,0,0,1,0,1,0,1,2525000,500000, 102-1142-11KMC-14Kathmandu,,,Kathmandu
14-Dec,01/01/2012,35,2.916666667,4.921259843,150,1.5,8500000,85,27.731133,85.311925,10,17,5,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1700000,1000000,"356, Kathmandu-16, Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,8500000,85,27.674078,85.286403,5,8,10.625,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"27,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
03/06/2016,01/01/2012,50,4.166666667,4.304461942,100,1,8343750,83.4375,27.735325,85.30725,20,22.25,3.75,0,1,0,0,0,1,0,1,0,0,1,2225000,2000000, 102-0984-09Gongabu-6Kathmandu,,,Kathmandu
08-Aug-14,01/01/2012,31,2.583333333,3.280839895,400,4,8310000,83.1,FAILED,85.323059,2,10,8.31,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1000000,200000,"2664,2666&2668,Imadol-5, Lalitpur ",,,Lalitpur
07/18/2013,01/01/2012,18,1.5,4.593175853,140,1.4,8260000,82.6,FAILED,FAILED,9,13.98518519,5.90625,0,1,0,0,0,1,0,,,," TEWS 
    ","14,00,000.00",900000," 102-1067-15,1068-11, KMC-8dha,7, Kathmandu",,,Kathmandu
14-Dec,01/01/2012,35,2.916666667,3.937007874,200,2,8250000,82.5,27.694394,FAILED,10,30,2.75,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3000000,1000000,"106, Kathmandu-35, Kathmandu",,,Kathmandu
10/30/2013,01/01/2012,21,1.75,3.937007874,200,2,8232000,82.32,27.72298,85.373062,3.65,11.98907701,6.86625,1,0,0,0,0,0,1,,,," TEWS 
    ","12,00,000.00",365000," 102-1069-05, Jorpati-1, Kathmandu",,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,4.265091864,250,2.5,8206250,82.0625,27.709217,85.339706,3.8148,13,6.3125,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1300000,381480,"146,Imadol-7, Lalitpur",,,Lalitpur
11/22/2013,01/01/2012,22,1.833333333,3.937007874,1000,10,8202000,82.02,FAILED,FAILED,1,3,27.34,1,0,0,0,0,0,1,,,,TEW,"3,00,000.00",100000," Tathali-9, Yan, Bhaktapur",,,Bhaktapur
03/04/2013,01/01/2012,14,1.166666667,3.280839895,50,0.5,8200000,82,FAILED,FAILED,8,25.03339057,3.275625,0,0,0,0,1,1,0,,,," TEWS 
    ","25,00,000.00",800000," 102-1107-01,Kathmandu-9chha",,,Kathmandu
12/01/2014,01/01/2012,35,2.916666667,7.217847769,300,3,8190000,81.9,FAILED,FAILED,18,42,1.95,0,1,0,0,0,1,0,1,0,0,1,4200000,1800000, KMC-19 KhaKathmandu,,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,3.608923885,400,4,8175000,81.75,27.717538,85.323961,7,12,6.8125,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1200000,700000,"162,Manmaiju-9, Kathmandu",,,Kathmandu
01/28/2017,01/01/2012,60,5,4.304461942,1000,10,8060000,80.6,27.689326,85.25654,4,13,6.2,1,0,0,0,0,1,0,0,1,0,1,1300000,400000, 102-1061-03SitapailaKathmandu,,,Kathmandu
14-Dec,01/01/2012,35,2.916666667,4.921259843,150,1.5,7871000,78.71,27.684162,85.25654,10,17,4.63,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1700000,1000000,"352 & 354 Kathmandu-16, Kathmandu",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,6.56167979,1100,11,7850000,78.5,27.649899,85.247417,3,8,9.8125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,300000,"1545,Goldhunga-1, Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,7800000,78,27.745761,85.345415,5,8,9.75,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"2,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
09/15/2014,01/01/2012,32,2.666666667,6.56167979,100,1,7770000,77.7,27.698744,85.312168,15,35,2.22,0,1,0,0,0,1,0,0,1,0,1,3500000,1500000, 102-1067-07KMC-7Kathmandu,,,Kathmandu
11/20/2014,01/01/2012,34,2.833333333,3.280839895,500,5,7663500,76.635,FAILED,FAILED,1.5,4.5,17.03,1,0,0,0,0,0,1,0,0,1,0,450000,150000, Jitpur Fedi-9 khaKathmandu,,,Kathmandu
27-Jun-14,01/01/2012,29,2.416666667,2.624671916,30,0.3,7620000,76.2,27.750099,85.3578,10,20,3.81,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1000000,"203,Kathmandu-16, Kathmnadu",,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,5.249343832,850,8.5,7525000,75.25,27.709217,85.312598,7,14,5.375,0,1,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1400000,700000,"207,Khadka Bhadrakali -4, Kathmandu",,,Kathmandu
11/20/2014,01/01/2012,34,2.833333333,3.280839895,500,5,7501500,75.015,FAILED,FAILED,1.5,4.5,16.67,1,0,0,0,0,0,1,0,0,1,0,450000,150000, Jitpur Fedi-9 khaKathmandu,,,Kathmandu
15-Oct,01/01/2012,45,3.75,15,105,1.05,7500000,75,27.684382,85.324843,11,30,2.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3000000,1100000,"776,Lalitpur - 4 Dha, Lalitpur",,,Lalitpur
08/10/2015,01/01/2012,43,3.583333333,4.304461942,300,3,7500000,75,27.698744,85.312168,12,25,3,1,0,0,0,0,1,0,1,0,0,1,2500000,1200000, 102-1024 - 04 KMC-29Kathmandu,,,Kathmandu
19-Jun-14,01/01/2012,29,2.416666667,3.937007874,590,5.9,7500000,75,27.750099,85.311836,4,15,5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,400000,"18,Kapan-3, Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,7400000,74,27.709588,85.345415,5,8,9.25,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"1,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,7400000,74,27.709217,85.286403,5,8,9.25,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"675,Bishnu - 3 , Kathmandu",,,Kathmandu
10/09/2014,01/01/2012,33,2.75,3.280839895,30,0.3,7344000,73.44,27.731133,85.3578,7,16,4.59,0,1,0,0,0,0,1,1,0,0,1,1600000,700000, 102-0987-24Kapan-3Kathmandu,,,Kathmandu
01/20/2014,01/01/2012,24,2,5.905511811,500,5,7320000,73.2,FAILED,FAILED,2.5,10.01025641,7.3125,0,0,0,1,0,0,1,,,," TEWS 
    ","10,00,000.00",250000,"manamaiju-9kha, Kathmandu",,,Kathmandu
16-Apr,01/01/2012,51,4.25,5.249343832,100,1,7312500,73.125,27.731133,85.32178,4.5,15,4.875,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,450000,"35&135,Manmaiju-8, Kathmandu",,,Kathmandu
16-May,01/01/2012,52,4.333333333,4.265091864,600,6,7312500,73.125,27.703598,85.312859,2,6.5,11.25,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",650000,200000,"792,Chandragirimunicipality-6, Kathmandu",,,Kathmandu
04/22/2014,01/01/2012,27,2.25,4.304461942,500,5,7290000,72.9,27.717245,85.323961,6.32,18,4.05,0,1,0,0,0,0,1,0,1,0,1,1800000,632000, 102-0985-08Dhapasi-8Kathmandu,,,Kathmandu
31-Jul-14,01/01/2012,30,2.5,3.280839895,25,0.25,7250000,72.5,27.745761,85.32178,11,20,3.625,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1100000,"45,Kathmandu-10, Kathmandu",,,Kathmandu
01/19/2016,01/01/2012,48,4,0.984251969,2500,25,7200000,72,FAILED,FAILED,1.5,4,18,0,0,1,0,0,0,1,0,0,1,0,400000,150000, Bahirigaun-9 KhaKathmandu,,,Kathmandu
05/23/2014,01/01/2012,28,2.333333333,4.304461942,300,3,7152000,71.52,27.732065,85.36275,3.25,6,11.92,1,0,0,0,0,0,1,0,0,1,0,600000,325000, 102-1110-11102-1110-12Kapan-4/5Kathmandu,,,Kathmandu
15-Nov,01/01/2012,46,3.833333333,8.530183727,460,4.6,7150000,71.5,27.672292,85.286056,3,13,5.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1300000,300000,"830,Balambu-8 , Kathmandu",,,Kathmandu
03/04/2014,01/01/2012,26,2.166666667,16.40419948,,,7125000,71.25,27.666112,85.435841,7,30,2.375,0,1,0,0,0,1,0,,,," TEWS 
    ","30,00,000.00",700000," Sipadol-8 Kha-1, Bhaktapur",,,Bhaktapur
02/13/2015,01/01/2012,37,3.083333333,6.456692913,105,1.05,7115000,71.15,FAILED,FAILED,3,5,14.23,1,0,0,0,0,0,1,0,1,0,0,500000,300000,  Dachhi-2 KaKathmandu,,,Kathmandu
11/07/2014,01/01/2012,34,2.833333333,3.937007874,105,1.05,7006250,70.0625,27.696325,85.393885,1.5,4.75,14.75,1,0,0,0,0,0,1,0,1,0,0,475000,150000, Nilbarahi (Bode)-2Bhaktapur,,,Bhaktapur
15-Apr,01/01/2012,39,3.25,7.217847769,105,1.05,7000000,70,27.731133,85.30725,8.0625,35,2,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3500000,806250,"263,Lalitpur-12 ,  Lalitpur",,,Lalitpur
01/15/2016,01/01/2012,48,4,5.577427822,250,2.5,7000000,70,FAILED,FAILED,2,7,10,1,0,0,0,0,0,1,1,0,0,1,700000,200000, Thankotmahadev-2KhaKathmandu,,,Kathmandu
16-Jan,01/01/2012,48,4,4.593175853,300,3,6975000,69.75,27.709217,85.514803,9,15.5,4.5,0,0,1,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1550000,900000,"314,Gongabu-1, Kathmandu",,,Kathmandu
02/05/2015,01/01/2012,37,3.083333333,2.624671916,250,2.5,6960000,69.6,27.698744,85.312168,7.5,15,4.64,1,0,0,0,0,0,1,1,0,0,0,1500000,750000,102-1142-15KMC-14Kathmandu,,,Kathmandu
28-Mar-16,01/01/2012,50,4.166666667,7.874015748,200,2,6930000,69.3,27.750099,85.32178,7.7,30,2.31,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3000000,770000,"200,Kathmandu-14, Kathmandu",,,Kathmandu
15-Feb,01/01/2012,37,3.083333333,6.56167979,600,6,6875000,68.75,27.701014,85.324821,4.125,25,2.75,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2500000,412500,"866, Lalitpur - 5 Ta, Lalitpur",,,Lalitpur
01/20/2016,01/01/2012,48,4,10.76115486,500,5,6852000,68.52,FAILED,FAILED,2,3,22.84,1,0,0,0,0,0,1,0,0,1,0,300000,200000, Kavresthali-9 KhaKathmandu,,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,3.937007874,25,0.25,6825000,68.25,27.634059,85.311103,3.02005,10.5,6.5,0,1,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1050000,302005,"27, Sarsawati-4, Kathmandu",,,Kathmandu
09/12/2014,01/01/2012,32,2.666666667,5.249343832,250,2.5,6800000,68,27.731133,85.3578,6,17,4,0,1,0,0,0,1,0,0,1,0,1,1700000,600000, 102-0988-22Kapan-1 3Kathmandu,,,Kathmandu
11/28/2013,01/01/2012,22,1.833333333,5.905511811,300,3,6781000,67.81,FAILED,FAILED,0.06,15.00334006,4.519660271,1,0,0,0,0,0,1,,,," TEWS 
    ",47200,6000," 102-1228-01,mT-16,manohara Jagga Eakikaran Ayojana, Bhaktapur",,,Bhaktapur
12/31/2014,01/01/2012,35,2.916666667,7.532808399,50,0.5,6750000,67.5,FAILED,FAILED,13,27,2.5,0,1,0,0,0,1,0,1,0,0,1,2700000,1300000, 102-1027-22Kathmandu-7 Pa,,,Kathmandu
09/18/2015,01/01/2012,44,3.666666667,6.456692913,100,1,6750000,67.5,27.746065,85.294206,3,3,22.5,1,0,0,0,0,0,1,0,0,1,0,300000,300000, Goldhunga-9 GaKathmandu,,,Kathmandu
01/02/2015,01/01/2012,36,3,4.304461942,1000,10,6735000,67.35,27.708394,FAILED,4.5,5,13.47,1,0,0,0,0,0,1,0,0,1,0,500000,450000, Chapali Bhadrakali-3 KhaKathmandu,,,Kathmandu
07/14/2013,01/01/2012,18,1.5,2.624671916,250,2.5,6723000,67.23,27.698744,85.312168,2.75,8.99698896,7.4725,0,1,0,0,0,0,1,,,," TEWS 
    ","9,00,000.00",275000," 102-1068-11, KMC-6, Kathmandu",,,Kathmandu
01/19/2015,01/01/2012,36,3,3.280839895,150,1.5,6700000,67,27.735325,85.30725,10,20,3.35,1,0,0,0,0,1,0,1,0,0,1,2000000,1000000, 102-0984-04Gongabu-6Kathmandu,,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,8.530183727,1600,16,6682500,66.825,FAILED,85.286056,8,18,3.7125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,800000,"207,Ichangunarayan-8, Kathmandu",,,Kathmandu
09/23/2013,01/01/2012,20,1.666666667,7.874015748,100,1,6675000,66.75,FAILED,FAILED,0.32,2.50117096,26.6875,1,0,0,0,0,0,1,,,,TEW,"2,50,000.00",32000," Jhor-3ka, Kathmandu",,,Kathmandu
15-Mar,01/01/2012,38,3.166666667,3.280839895,300,3,6656250,66.5625,27.709217,85.32178,11,15,4.4375,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,1100000,"350,Kathmandu-9, Kathmandu",,,Kathmandu
12/15/2015,01/01/2012,47,3.916666667,4.304461942,1000,10,6651000,66.51,27.656921,85.357548,3,9,7.39,1,0,0,0,0,0,1,1,0,0,1,900000,300000, Tikathali-4kaLalitpur,,,Lalitpur
15-Nov,01/01/2012,46,3.833333333,4.593175853,2500,25,6625000,66.25,27.703598,85.306044,2,5,13.25,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",500000,200000,"508,Indrayani-9, Kathmandu",,,Kathmandu
06/06/2014,01/01/2012,29,2.416666667,3.280839895,700,7,6600000,66,27.656402,85.342049,1.8125,8.25,8,0,0,0,1,0,0,1,1,0,0,0,825000,181250, Imadol-3KaLalitpur,,,Lalitpur
03/01/2017,01/01/2012,62,5.166666667,4.304461942,700,7,6504000,65.04,FAILED,FAILED,5,12,5.42,0,1,0,0,0,0,0,0,0,1,1,1200000,500000, Danchhi-8 khaKathmandu,,,Kathmandu
14-Jun,01/01/2012,29,2.416666667,3.937007874,300,3,6500000,65,27.750099,85.32178,12,20,3.25,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1200000,"294,Kathmandu-4, Kathmandu",,,Kathmandu
16-Jun,01/01/2012,53,4.416666667,4.304461942,800,8,6500000,65,27.659403,85.30725,3.5,13,5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1300000,350000,"1655,1659,Sainbu-2 , Lalitpur",,,Lalitpur
12/24/2013,01/01/2012,23,1.916666667,4.304461942,200,2,6495000,64.95,FAILED,FAILED,2.1,5.498412698,11.8125,1,0,0,0,0,0,1,,,,TEW,"5,50,000.00",210000,"mulpani-3kha, Kathmandu",,,Kathmandu
02/10/2013,01/01/2012,13,1.083333333,3.280839895,30,0.3,6426000,64.26,27.731133,85.3578,5.5,14.01335696,4.585625,0,0,0,0,1,0,1,,,," TEWS 
    ","14,00,000.00",550000," 102-0987-24, Kapan-3, Kathmandu",,,Kathmandu
02/10/2013,01/01/2012,13,1.083333333,3.280839895,30,0.3,6426000,64.26,27.731133,85.3578,5.5,14.01335696,4.585625,0,0,0,0,1,0,1,,,," TEWS 
    ","14,00,000.00",550000," 102-0987-24, Kapan-3, Kathmandu",,,Kathmandu
01/10/2016,01/01/2012,48,4,2.624671916,105,1.05,6384000,63.84,27.731133,85.3578,7.7,19,3.36,0,1,0,0,0,0,1,1,0,0,1,1900000,770000, 102-1028-06Kapan-3Kathmandu,,,Kathmandu
15-Nov,01/01/2012,46,3.833333333,3.280839895,200,2,6373600,63.736,27.709217,85.274215,12,20,3.1868,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1200000,"212,Kathmandu-14, Kathmandu",,,Kathmandu
07/12/2016,01/01/2012,54,4.5,4.304461942,600,6,6368000,63.68,FAILED,FAILED,2,4,15.92,1,0,0,0,0,0,1,0,0,1,0,400000,200000, 102 Thankot-9 ‘kaftKathmandu,,,Kathmandu
01/14/2015,01/01/2012,36,3,6.56167979,200,2,6363000,63.63,27.690268,85.487281,0.7,3.5,18.18,1,0,0,0,0,0,1,0,0,1,0,350000,70000, Sudal-9 KaBhaktapur,,,Bhaktapur
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,6350000,63.5,27.68534,85.345415,5,8,7.9375,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"315,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
03/20/2016,01/01/2012,50,4.166666667,6.456692913,4000,40,6343750,63.4375,FAILED,FAILED,1.44375,1.25,50.75,1,0,0,0,0,0,1,0,0,1,0,125000,144375, 102-0370 Charghara-9Nuwakot,,,Nuwakot
15-Dec,01/01/2012,47,3.916666667,12,250,2.5,6300000,63,27.709217,85.294248,10,18,3.5,0,1,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,1000000,"Kathmandu-13, Kathmandu",,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,5.905511811,250,2.5,6300000,63,27.665277,85.294248,10,18,3.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,1000000,"460, Kathmandu-13, Kathmandu",,,Kathmandu
16-May,01/01/2012,52,4.333333333,3.937007874,450,4.5,6300000,63,FAILED,85.311836,4.5,14,4.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1400000,450000,"127,Gotthatar-9, Kathmandu",,,Kathmandu
09/11/2013,01/01/2012,20,1.666666667,3.937007874,10,0.1,6300000,63,FAILED,FAILED,12,30.02680965,2.098125,0,1,0,0,0,1,0,,,," TEWS 
    ","30,00,000.00",1200000," 102-1107-09, Kathmandu-8 Ya, Kathmandu",,,Kathmandu
